SchoolCode,SchoolName,SchoolType,Grade,TotalEnrollment,FirstLanguageNotEnglish,PctFirstLanguageNotEnglish,EnglishLanguageLearner,PctEnglishLanguageLearner,StudentsWithDisabilities,PctStudentsWithDisabilities,HighNeeds,PctHighNeeds,EconomicallyDisadvantaged,PctEconomicallyDisadvantaged,TotalNoOfClasses,AverageClassSize,NumberOfStudents,SalaryTotals,AverageSalary,FTECount,InDistrictExpenditures,TotalInDistrictFTEs,AverageInDistrictExpendituresPerPupil,TotalExpenditures,TotalPupilFTEs,AverageExpendituresPerPupil,AccountabilityAndAssistanceLevel,AccountabilityAndAssistanceDescription,SchoolAccountablityPercentile,ProgressAndPerformanceAll,ProgressAndPerformanceHighNeeds,DistrictAccountability,DistrictProgressAndPerformanceAll,DistrictProgressAndPerformanceHighNeeds
10003,Beaver Brook Elementary School,Public School,"01,02,03,04",580,61,10.5,42,7.2,77,13.3,215,37.1,135,23.3,325,24.6,643,9489496,74662,127,23365711.18,1939,12050.39,27229100.8,2051.8,13270.84,Level 3,Among lowest performing 20% of subgroups,34,69,73,Level 3,63,60
10015,Woodsdale Elementary School,Public School,"05,06",353,21,5.9,7,2,38,10.8,108,30.6,80,22.7,121,30.4,334,9489496,74662,127,23365711.18,1939,12050.39,27229100.8,2051.8,13270.84,Level 2,Not meeting gap narrowing goals,52,65,67,Level 3,63,60
10405,Frolio Middle School,Public School,"07,08",328,18,5.5,6,1.8,43,13.1,101,30.8,71,21.6,218,21.1,342,9489496,74662,127,23365711.18,1939,12050.39,27229100.8,2051.8,13270.84,Level 2,Not meeting gap narrowing goals,40,63,64,Level 3,63,60
10505,Abington High,Public School,"09,10,11,12",452,24,5.3,11,2.4,44,9.7,130,28.8,97,21.5,204,15.8,451,9489496,74662,127,23365711.18,1939,12050.39,27229100.8,2051.8,13270.84,Level 1,Meeting gap narrowing goals,42,76,75,Level 3,63,60
30025,Acushnet Elementary School,Public School,"PK,K,01,02,03,04",538,3,0.6,2,0.4,77,14.3,191,35.5,136,25.3,237,20.1,558,4543438,64906,70,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15,Level 2,Not meeting gap narrowing goals,65,74,68,Level 2,50,57
30305,Albert F Ford Middle School,Public School,"05,06,07,08",417,4,1,2,0.5,57,13.7,122,29.3,82,19.7,309,16.9,426,4543438,64906,70,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15,Level 2,Not meeting gap narrowing goals,53,52,52,Level 2,50,57
50010,Clifford M Granger,Public School,"K,01,02,03,04",293,26,8.9,21,7.2,56,19.1,134,45.7,96,32.8,159,19.8,296,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,68,77,53,Level 2,54,56
50020,Benjamin J Phelps,Public School,"K,01,02,03,04",385,60,15.6,51,13.2,50,13,161,41.8,103,26.8,229,16.8,361,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,28,52,55,Level 2,54,56
50025,Robinson Park,Public School,"K,01,02,03,04",377,58,15.4,54,14.3,49,13,181,48,132,35,229,17.7,385,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,56,59,71,Level 2,54,56
50030,James Clark School,Public School,"K,01,02,03,04",329,45,13.7,39,11.9,58,17.6,149,45.3,95,28.9,182,18.2,315,20849537,64769,322,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,Level 2,Not meeting gap narrowing goals,46,64,59,Level 2,54,56
